student_id,age,country_region,device_type,education_background,course_level,course_category,course_start_date,week_of_year,sessions,time_spent_hours,videos_watched,quiz_attempts,assignments_submitted,forum_posts,avg_quiz_score,attendance_rate,completion_status,final_score
700001,32,Europe,Laptop,Undergrad,Intermediate,Business,2024-03-18,12,1,7.6,1,6,1,1,53.3,0.655,0,49.8
700002,17,Europe,Laptop,Undergrad,Intermediate,Programming,2024-08-22,34,16,27.2,6,4,7,1,51.5,1,1,84
700003,25,Europe,Mobile,Graduate,Advanced,Programming,2024-09-28,39,6,7.1,16,2,2,0,62.2,0.81,0,62.5
700004,26,Asia,Mobile,Undergrad,Beginner,Design,2024-03-09,10,34,22.1,57,9,6,0,59.3,0.875,1,89.5
700005,26,Asia,Tablet,WorkingPro,Advanced,Business,2024-03-21,12,22,32.3,41,9,2,0,65.1,0.814,0,67.4
700006,28,Africa,Laptop,HighSchool,Intermediate,Business,2024-12-02,49,9,10.4,22,8,4,0,80.7,0.963,1,95.8
700007,20,Asia,Mobile,WorkingPro,Advanced,Data,2024-08-29,35,9,16.2,5,6,4,1,70.2,0.792,1,86.7
700008,26,Europe,Mobile,Undergrad,Intermediate,Design,2024-03-13,11,21,6.3,33,8,1,1,46.6,0.622,0,46.9
700009,16,Oceania,Laptop,Undergrad,Intermediate,Programming,2024-01-15,3,9,29.8,27,7,5,0,73.7,1,1,99.2
700010,34,Asia,Tablet,Undergrad,Intermediate,Data,2024-04-20,16,12,16.1,20,4,3,2,69.4,0.72,0,72
700011,28,Americas,Mobile,HighSchool,Intermediate,Design,2024-08-19,34,7,14.7,11,6,2,1,82.5,0.586,0,84.9
700012,23,Americas,Laptop,Undergrad,Advanced,Business,2024-07-01,27,14,5.7,31,12,1,1,71.3,0.76,0,58.5
700013,26,Africa,Laptop,WorkingPro,Advanced,Data,2024-04-24,17,23,25.6,47,6,8,2,73.2,0.896,1,93.5
700014,29,Asia,Laptop,Undergrad,Intermediate,Design,2024-02-14,7,19,5,28,5,4,4,75.3,0.654,0,72
700015,31,Asia,Mobile,Graduate,Intermediate,Programming,2024-05-12,19,31,13.2,41,10,3,1,66.7,1,0,70.7
700016,16,Asia,Mobile,Undergrad,Beginner,Design,2024-10-08,41,20,24.8,18,4,3,4,69.4,0.815,0,74.9
700017,17,Asia,Mobile,WorkingPro,Beginner,Marketing,2024-06-27,26,5,35.9,10,5,6,1,64.7,0.994,1,81.3
700018,27,Europe,Laptop,Graduate,Advanced,Programming,2024-03-22,12,27,23.7,46,8,1,4,88,0.577,1,81.6
700019,23,Europe,Tablet,WorkingPro,Beginner,Design,2024-12-01,48,31,3.4,55,9,3,2,77.6,0.854,1,70.6
700020,26,Asia,Mobile,Undergrad,Intermediate,Programming,2024-03-13,11,39,7.2,26,10,3,1,57.2,0.84,1,79.7
700021,27,Europe,Laptop,HighSchool,Intermediate,Business,2024-04-01,14,27,8.5,42,8,4,2,76.1,0.938,0,69.6
700022,25,Americas,Mobile,Graduate,Intermediate,Marketing,2024-04-15,16,7,24.8,15,9,5,2,67.9,0.941,1,90.7
700023,21,Africa,Laptop,Undergrad,Beginner,Data,2024-08-21,34,8,18.1,10,6,2,0,54.9,0.91,0,58.2
700024,23,Europe,Tablet,Undergrad,Beginner,Design,2024-06-30,26,30,21.8,34,7,5,1,89,0.818,1,97.2
700025,19,Asia,Mobile,WorkingPro,Intermediate,Design,2024-04-09,15,17,11.8,14,11,4,2,73,0.645,1,71
700026,28,Asia,Laptop,Undergrad,Beginner,Programming,2024-04-10,15,25,16.3,48,5,4,3,69.9,0.861,1,96.3
700027,19,Europe,Laptop,Undergrad,Beginner,Design,2024-09-25,39,33,28.8,61,5,4,2,66.8,0.782,1,98.5
700028,21,Europe,Mobile,Graduate,Beginner,Business,2024-12-24,52,14,,32,13,8,3,66.6,0.783,1,87.7
700029,16,Americas,Laptop,Graduate,Beginner,Programming,2024-07-25,30,27,21.4,28,5,6,2,56.6,,0,72.9
700030,20,Asia,Tablet,Undergrad,Beginner,Data,2024-07-10,28,20,8.9,16,9,8,2,68.9,0.951,0,71.7
700031,16,Asia,Mobile,Undergrad,Intermediate,Data,2024-07-29,31,20,34.2,21,6,4,3,48.4,0.828,0,64.3
700032,21,Europe,Mobile,Graduate,Intermediate,Programming,2024-06-14,24,13,10.7,9,11,5,3,71.9,0.735,0,58.8
700033,20,Americas,Mobile,Undergrad,Beginner,Business,2024-10-14,42,36,18.6,35,5,0,1,57.5,0.861,1,71.1
700034,24,Europe,Mobile,Graduate,Intermediate,Marketing,2024-04-01,14,25,9.6,29,7,3,2,75.5,0.955,1,81.1
700035,17,Asia,Mobile,HighSchool,Intermediate,Programming,2024-12-01,48,17,8.6,32,7,6,0,45.3,0.931,0,62.8
700036,18,Americas,Mobile,Undergrad,Advanced,Business,2024-02-25,8,12,8.3,14,9,3,2,77,0.701,0,64.2
700037,28,Asia,Mobile,Graduate,Advanced,Marketing,2024-02-24,8,24,7.9,28,6,3,2,68,0.87,0,76.8
700038,25,Americas,Mobile,HighSchool,Intermediate,Data,2024-02-14,7,8,18.7,16,4,6,1,64.3,0.68,0,70.7
700039,23,Americas,Laptop,Graduate,Beginner,Data,2024-05-09,19,21,21.8,45,5,4,2,48.7,0.78,0,68
700040,33,Europe,Mobile,Undergrad,Intermediate,Marketing,2024-09-07,36,25,19.6,32,9,2,0,71.4,0.838,1,77.5
700041,16,Asia,Mobile,WorkingPro,Advanced,Data,2024-01-24,4,7,25.3,0,12,7,2,50,1,0,61.1
700042,38,Asia,Mobile,Undergrad,Advanced,Data,2024-11-08,45,28,14.4,42,8,5,1,70.8,0.927,0,70.4
700043,28,Africa,Mobile,HighSchool,Advanced,Data,2024-09-20,38,14,17.3,22,3,1,1,100,0.971,1,90
700044,16,Americas,Laptop,WorkingPro,Beginner,Marketing,2024-04-14,15,11,15.4,13,7,5,1,74.7,0.713,1,74.3
700045,16,Asia,Mobile,WorkingPro,Beginner,Data,2024-10-21,43,11,11.1,22,6,4,2,65.3,0.805,0,67.5
700046,25,Americas,Laptop,Graduate,Advanced,Business,2024-09-15,37,23,32.5,37,5,2,0,60.2,0.755,1,72.9
700047,23,Europe,Laptop,Undergrad,Beginner,Programming,2024-06-15,24,8,10.4,22,6,2,0,93.1,1,1,94.6
700048,33,Americas,Laptop,WorkingPro,Intermediate,Marketing,2024-02-22,8,38,,54,9,3,1,92.1,0.989,1,96.5
700049,29,Africa,Mobile,Graduate,Intermediate,Programming,2024-05-22,21,25,6.7,33,3,7,1,64.8,0.804,0,78.1
700050,36,Asia,Laptop,Graduate,Intermediate,Programming,2024-08-05,32,13,12.2,11,4,5,1,71.5,0.965,1,81.8
700051,24,Africa,Mobile,Graduate,Beginner,Programming,2024-02-18,7,15,11.9,31,8,7,2,57.1,0.964,0,68.9
700052,22,Asia,Mobile,Undergrad,Intermediate,Data,2024-09-09,37,19,14.8,37,10,5,3,60.8,0.884,0,68.4
700053,27,Americas,Laptop,Undergrad,Beginner,Data,2024-07-17,29,20,17.8,41,4,1,1,58.2,0.788,0,80
700054,20,Africa,Tablet,HighSchool,Intermediate,Design,2024-01-30,5,22,9.9,25,6,3,1,75.1,0.88,1,80.9
700055,31,Americas,Mobile,Graduate,Intermediate,Design,2024-06-29,26,24,18.3,43,8,4,1,49.1,0.947,0,67
700056,19,Africa,Tablet,Graduate,Intermediate,Data,2024-03-29,13,18,12.1,32,6,3,1,58.9,1,0,63.5
700057,23,Africa,Tablet,Graduate,Beginner,Data,2024-07-21,29,26,13.9,34,8,4,4,62.4,1,1,88.1
700058,36,Europe,Mobile,Undergrad,Beginner,Marketing,2024-04-14,15,19,8.9,29,5,7,1,86.4,,0,65.7
700059,35,Asia,Mobile,Undergrad,Intermediate,Data,2024-07-03,27,37,10.7,44,4,3,3,75.5,0.91,1,92.3
700060,23,Asia,Mobile,Graduate,Beginner,Data,2024-11-13,46,51,20.1,99,10,5,2,67.3,1,1,81.5
700061,25,Asia,Mobile,Undergrad,Advanced,Programming,2024-04-01,14,12,25.1,10,6,4,3,80.3,0.645,1,83.4
700062,23,Asia,Mobile,Undergrad,Intermediate,Programming,2024-07-02,27,27,11.7,26,5,2,2,85.4,0.916,0,78.6
700063,26,Asia,Laptop,HighSchool,Intermediate,Programming,2024-02-01,5,15,19.4,14,8,3,1,40.2,0.724,0,53.7
700064,24,Asia,Mobile,Graduate,Intermediate,Data,2024-03-19,12,23,25.8,31,4,12,0,52.5,0.772,0,73.6
700065,16,Oceania,Laptop,WorkingPro,Beginner,Programming,2024-08-15,33,14,15.4,26,5,3,2,57.9,0.989,0,58.7
700066,27,Americas,Laptop,HighSchool,Intermediate,Business,2024-11-09,45,10,10.1,14,8,0,2,78.1,0.864,1,86.7
700067,20,Asia,Tablet,Undergrad,Intermediate,Business,2024-04-13,15,5,25,4,6,5,1,56.7,0.795,0,73.7
700068,31,Africa,Mobile,Graduate,Intermediate,Programming,2024-01-22,4,10,11.1,0,8,5,1,57.7,0.644,0,53.2
700069,22,Asia,Mobile,Graduate,Beginner,Data,2024-05-30,22,17,54,3,6,6,1,66.4,0.721,0,74.3
700070,16,Americas,Mobile,Graduate,Intermediate,Design,2024-04-04,14,25,16,39,6,1,0,70.4,,1,81
700071,21,Europe,Mobile,Undergrad,Intermediate,Design,2024-08-22,34,20,4.2,30,10,5,1,50.2,0.739,0,50.8
700072,27,Americas,Mobile,HighSchool,Beginner,Data,2024-06-15,24,20,25.6,15,14,6,1,91.7,0.943,1,95.8
700073,16,Africa,Mobile,WorkingPro,Beginner,Programming,2024-10-16,42,25,10.1,14,8,4,1,78.2,1,1,80.9
700074,24,Europe,Laptop,HighSchool,Intermediate,Data,2024-09-24,39,13,15.3,21,7,4,4,79.3,0.745,0,65.9
700075,34,Africa,Mobile,Graduate,Advanced,Data,2024-11-16,46,15,12,11,7,4,1,67.2,0.756,0,69.4
700076,26,Europe,Laptop,Graduate,Beginner,Programming,2024-07-24,30,7,10.5,16,3,3,2,64,0.622,0,50.1
700077,28,Africa,Mobile,WorkingPro,Intermediate,Programming,2024-03-24,12,29,36.7,32,7,6,3,78.7,0.802,1,93.3
700078,27,Americas,Laptop,Graduate,Intermediate,Marketing,2024-06-12,24,4,11.5,14,8,2,2,77.7,0.749,0,74.4
700079,35,Asia,Laptop,WorkingPro,Intermediate,Design,2024-11-12,46,17,29.5,39,6,3,3,89.4,0.773,0,76
700080,24,Europe,Mobile,Graduate,Intermediate,Data,2024-09-04,36,12,36.8,22,14,4,1,73.5,0.825,0,78.5
700081,32,Americas,Tablet,HighSchool,Beginner,Marketing,2024-05-25,21,38,9.4,39,11,5,2,41.3,0.89,0,70.3
700082,23,Africa,Laptop,Graduate,Beginner,Programming,2024-05-07,19,12,5.4,22,4,5,4,80.6,0.866,0,69.8
700083,16,Asia,Tablet,Undergrad,Advanced,Design,2024-08-31,35,14,1.5,0,9,5,3,74.7,0.895,0,62.5
700084,32,Asia,Laptop,Undergrad,Advanced,Business,2024-05-12,19,5,22.8,1,7,2,1,63.7,0.404,0,59.5
700085,29,Asia,Mobile,HighSchool,Beginner,Design,2024-08-26,35,50,19.3,51,8,2,2,51.4,1,1,87.6
700086,34,Europe,Mobile,WorkingPro,Intermediate,Design,2024-09-10,37,11,9.7,12,6,1,2,57.7,0.625,1,80.6
700087,30,Americas,Laptop,Graduate,Intermediate,Data,2024-06-29,26,16,11.9,25,6,10,1,63.5,0.823,0,70.5
700088,27,Europe,Laptop,Graduate,Beginner,Business,2024-01-14,2,26,4.8,10,6,0,1,62.3,0.937,0,61.4
700089,24,Americas,Mobile,Undergrad,Beginner,Business,2024-07-30,31,12,16.4,18,8,4,1,72.1,0.763,0,80.5
700090,25,Africa,Mobile,Graduate,Beginner,Programming,2024-12-25,52,8,6.1,2,5,3,0,35.9,0.774,0,54.7
700091,22,Europe,Laptop,Undergrad,Intermediate,Business,2024-10-12,41,20,48,23,7,6,2,62.5,0.827,0,69.5
700092,28,Asia,Laptop,WorkingPro,Intermediate,Data,2024-06-19,25,9,20.2,14,5,2,1,54.1,0.663,0,67.6
700093,29,Americas,Tablet,Undergrad,Beginner,Marketing,2024-06-24,26,57,34,93,7,2,0,53.3,1,1,94.5
700094,31,Americas,Mobile,Undergrad,Advanced,Business,2024-11-22,47,16,12.8,35,9,2,0,53.3,0.612,0,59.8
700095,29,Africa,Laptop,WorkingPro,Intermediate,Business,2024-05-08,19,28,24,33,9,3,1,81.7,0.683,1,90.2
700096,25,Asia,Laptop,WorkingPro,Intermediate,Programming,2024-09-06,36,20,,35,8,1,1,79.3,1,0,72.7
700097,26,Americas,Laptop,HighSchool,Advanced,Business,2024-11-25,48,12,20,27,4,4,1,36.3,0.585,0,38.6
700098,22,Americas,Mobile,WorkingPro,Beginner,Business,2024-01-14,2,24,34.2,38,9,3,0,48.7,0.744,0,69
700099,27,Asia,Laptop,Undergrad,Intermediate,Marketing,2024-07-05,27,19,7.8,21,6,3,1,70.9,0.844,0,61.7
700100,16,Asia,Mobile,Undergrad,Intermediate,Design,2024-06-26,26,13,13.3,10,8,2,1,53.3,0.844,0,61.8
700101,21,Americas,Laptop,HighSchool,Intermediate,Data,2024-07-15,29,23,10.6,29,4,2,0,63.8,0.676,0,68.8
700102,16,Oceania,Mobile,WorkingPro,Intermediate,Data,2024-09-12,37,15,4.6,26,8,6,1,62.9,0.783,0,77.6
700103,28,Asia,Mobile,Undergrad,Intermediate,Data,2024-04-03,14,20,11.7,30,5,5,1,61.3,0.961,0,62.7
700104,31,Asia,Laptop,HighSchool,Beginner,Programming,2024-05-17,20,42,13.3,61,9,3,1,75,0.851,1,81.3
700105,16,Oceania,Mobile,Graduate,Advanced,Business,2024-08-02,31,11,37.1,32,4,4,5,58.3,0.983,0,71.6
700106,25,Europe,Laptop,HighSchool,Beginner,Design,2024-08-01,31,15,19.5,19,7,4,4,68,0.735,0,57.6
700107,21,Europe,Mobile,HighSchool,Intermediate,Programming,2024-03-01,9,20,29.9,12,9,2,1,88.2,0.985,1,100
700108,30,Africa,Laptop,Undergrad,Beginner,Programming,2024-03-31,13,20,33.3,38,8,6,2,88.4,0.512,1,97.8
700109,23,Asia,Mobile,Undergrad,Beginner,Data,2024-01-09,2,14,6.3,13,7,4,2,67.5,0.854,0,65.1
700110,31,Americas,Laptop,WorkingPro,Beginner,Design,2024-05-30,22,10,,25,7,6,1,48.1,0.947,0,78.9
700111,30,Americas,Tablet,Graduate,Intermediate,Data,2024-01-12,2,2,9,0,1,2,2,70.2,0.767,0,61
700112,22,Americas,Mobile,HighSchool,Intermediate,Marketing,2024-12-01,48,11,8.7,7,6,1,1,39.1,0.664,0,44.8
700113,28,Oceania,Mobile,Graduate,Intermediate,Data,2024-07-16,29,4,18,0,5,0,1,70.5,0.769,0,58.9
700114,28,Asia,Mobile,HighSchool,Beginner,Programming,2024-10-12,41,23,15,24,11,5,0,79.8,,1,89.4
700115,24,Africa,Laptop,WorkingPro,Intermediate,Marketing,2024-01-13,2,21,8.8,26,4,3,3,45.8,0.691,0,65.3
700116,24,Americas,Laptop,WorkingPro,Beginner,Design,2024-05-29,22,17,14.1,16,6,4,1,57.5,0.901,1,78.6
700117,20,Europe,Mobile,Graduate,Intermediate,Programming,2024-11-30,48,18,4,19,6,3,0,,0.739,0,44.5
700118,16,Asia,Mobile,Undergrad,Intermediate,Marketing,2024-12-30,1,18,28.2,29,4,4,1,84,0.848,0,83
700119,27,Asia,Mobile,Undergrad,Intermediate,Data,2024-10-22,43,28,11.9,34,4,4,0,94.2,1,1,97.9
700120,27,Americas,Mobile,Graduate,Intermediate,Programming,2024-01-23,4,23,41.9,25,10,3,1,76.6,0.828,1,84.3
700121,25,Oceania,Laptop,Undergrad,Intermediate,Programming,2024-11-01,44,29,24.6,35,9,4,4,56.4,0.828,1,78.8
700122,25,Asia,Laptop,Undergrad,Beginner,Business,2024-08-03,31,23,8.6,48,7,4,0,75,0.635,0,65.5
700123,17,Americas,Laptop,WorkingPro,Beginner,Design,2024-01-14,2,25,7.6,46,7,4,0,48.9,0.808,0,67.2
700124,23,Americas,Laptop,Undergrad,Advanced,Data,2024-01-18,3,21,10.8,15,8,5,3,100,0.893,0,77.1
700125,25,Asia,Tablet,WorkingPro,Beginner,Data,2024-02-07,6,21,,31,7,4,0,81.8,0.745,0,58.5
700126,38,Europe,Laptop,WorkingPro,Advanced,Business,2024-04-20,16,2,13,0,5,1,1,55.7,1,0,57.8
700127,25,Asia,Laptop,Graduate,Advanced,Data,2024-02-21,8,16,31.6,14,6,2,1,70.9,0.905,0,81.5
700128,27,Europe,Mobile,HighSchool,Intermediate,Programming,2024-12-01,48,8,12.2,19,2,3,1,63.8,0.917,0,66.5
700129,34,Europe,Mobile,Undergrad,Intermediate,Programming,2024-04-04,14,39,19.8,74,7,3,0,55.1,1,1,85.6
700130,30,Asia,Laptop,Undergrad,Beginner,Business,2024-09-29,39,15,22,19,9,3,0,59.8,0.862,1,80.9
700131,16,Asia,Mobile,HighSchool,Beginner,Programming,2024-11-17,46,16,26.6,28,6,2,1,66.4,0.932,1,81.7
700132,17,Asia,Mobile,HighSchool,Intermediate,Marketing,2024-02-08,6,22,,27,7,3,0,57.9,0.8,0,81.2
700133,26,Americas,Mobile,Undergrad,Intermediate,Marketing,2024-07-06,27,10,12.7,8,7,3,1,57.4,0.896,0,64.4
700134,20,Asia,Laptop,Undergrad,Advanced,Data,2024-10-30,44,5,65.6,13,12,7,2,73.4,0.83,1,82.7
700135,22,Asia,Mobile,Undergrad,Intermediate,Programming,2024-12-18,51,28,5.4,30,11,3,2,62.1,0.97,0,67.1
700136,21,Asia,Laptop,Undergrad,Beginner,Data,2024-04-01,14,16,17.4,20,13,8,1,57.1,,0,69.1
700137,24,Europe,Mobile,WorkingPro,Beginner,Marketing,2024-12-26,52,34,11.8,40,8,4,1,90.9,0.98,1,92.8
700138,18,Americas,Laptop,Undergrad,Intermediate,Marketing,2024-08-30,35,24,20.7,29,5,5,2,78.3,1,1,87.2
700139,16,Africa,Mobile,Graduate,Beginner,Data,2024-09-29,39,37,34.2,79,13,7,0,81.5,0.771,1,95.4
700140,30,Asia,Mobile,Undergrad,Intermediate,Data,2024-10-14,42,19,16.9,24,7,1,1,81.7,0.952,1,80.7
700141,32,Americas,Mobile,Graduate,Intermediate,Marketing,2024-09-30,40,32,17.9,42,6,2,4,60,1,1,60.6
700142,21,Asia,Mobile,WorkingPro,Intermediate,Design,2024-01-12,2,29,,9,5,2,2,69.7,0.872,0,64.6
700143,25,Asia,Tablet,Undergrad,Intermediate,Data,2024-01-05,1,24,17.5,28,5,4,1,77.1,0.911,1,93.1
700144,24,Asia,Laptop,WorkingPro,Intermediate,Data,2024-07-09,28,16,16.1,14,10,3,3,62.9,0.829,0,63.1
700145,21,Asia,Mobile,Graduate,Beginner,Design,2024-05-25,21,24,16.2,48,7,6,2,39.5,0.802,0,49.9
700146,16,Asia,Laptop,Undergrad,Beginner,Data,2024-09-07,36,7,33.3,0,8,4,0,85.5,0.607,0,77.9
700147,21,Europe,Mobile,Graduate,Intermediate,Design,2024-08-08,32,28,21.6,39,3,4,2,66.4,0.88,1,81.8
700148,28,Europe,Mobile,Undergrad,Beginner,Business,2024-05-08,19,11,12.8,21,7,2,1,63.6,0.728,0,64.2
700149,22,Africa,Mobile,Undergrad,Beginner,Business,2024-03-28,13,41,23,55,6,4,2,45.2,1,0,80
700150,18,Europe,Mobile,HighSchool,Intermediate,Data,2024-06-27,26,20,22.8,19,8,7,0,87.6,0.815,1,100
700151,17,Americas,Mobile,Graduate,Beginner,Data,2024-04-18,16,19,11.3,42,8,6,5,79.4,1,1,100
700152,27,Americas,Mobile,HighSchool,Beginner,Business,2024-11-23,47,24,9.3,32,7,5,4,72.8,0.934,1,76.4
700153,26,Asia,Mobile,Graduate,Advanced,Business,2024-04-09,15,21,47.2,24,11,5,1,61.6,0.838,1,87.8
700154,28,Americas,Mobile,WorkingPro,Intermediate,Business,2024-09-14,37,7,19.6,13,10,6,0,60.6,0.785,0,66.8
700155,31,Europe,Laptop,Undergrad,Beginner,Programming,2024-11-16,46,17,20.6,33,4,3,3,47.9,0.706,0,62.6
700156,23,Asia,Laptop,Undergrad,Intermediate,Business,2024-10-30,44,30,34.1,48,6,4,3,74.1,0.755,0,78.3
700157,30,Asia,Mobile,Undergrad,Intermediate,Business,2024-04-26,17,18,27.5,18,10,6,3,78.3,1,1,88.8
700158,16,Europe,Mobile,Undergrad,Intermediate,Programming,2024-03-27,13,28,8.5,27,7,6,2,44.2,0.621,0,53.7
700159,20,Asia,Mobile,Undergrad,Intermediate,Marketing,2024-09-04,36,11,29.8,9,9,9,1,87.9,0.789,1,91.9
700160,19,Oceania,Mobile,Graduate,Intermediate,Business,2024-07-06,27,6,7.5,15,9,6,3,53.6,0.994,0,78.7
700161,22,Europe,Mobile,Undergrad,Intermediate,Marketing,2024-08-12,33,23,24.2,35,9,5,1,61.5,1,1,80
700162,24,Asia,Laptop,Undergrad,Intermediate,Design,2024-09-17,38,36,28.2,45,7,4,1,44.8,0.866,0,52.3
700163,27,Asia,Laptop,HighSchool,Intermediate,Marketing,2024-12-04,49,35,21.7,57,9,8,1,59.1,1,0,67.3
700164,21,Europe,Laptop,Graduate,Intermediate,Data,2024-08-30,35,14,14.1,30,5,5,7,85.9,0.983,1,98.3
700165,32,Americas,Mobile,WorkingPro,Beginner,Business,2024-07-15,29,6,8.5,14,4,3,0,90.8,0.777,1,83.2
700166,32,Europe,Mobile,Graduate,Intermediate,Data,2024-12-03,49,16,19.6,39,6,4,1,56.3,0.897,0,52.5
700167,24,Europe,Laptop,Undergrad,Intermediate,Design,2024-06-30,26,21,16.5,22,6,2,2,63.1,0.802,1,81.8
700168,24,Asia,Mobile,HighSchool,Beginner,Business,2024-03-12,11,10,21.9,10,7,5,3,84.3,1,0,64.6
700169,23,Europe,Mobile,Undergrad,Intermediate,Business,2024-04-24,17,21,7.6,39,8,3,4,65.5,0.689,0,63.9
700170,16,Asia,Laptop,WorkingPro,Beginner,Data,2024-04-14,15,29,28.9,40,5,4,1,56.9,0.748,0,64.3
700171,20,Oceania,Mobile,WorkingPro,Beginner,Marketing,2024-10-18,42,13,17.2,20,10,4,1,90.9,0.752,0,83.1
700172,24,Europe,Mobile,Undergrad,Beginner,Business,2024-05-05,18,9,41.1,9,4,3,4,80,1,1,87.5
700173,17,Asia,Laptop,Undergrad,Beginner,Programming,2024-12-17,51,24,8.1,44,8,4,2,61.1,1,0,63.8
700174,18,Oceania,Laptop,Undergrad,Advanced,Data,2024-08-11,32,10,13.7,24,5,3,0,37.5,0.779,0,54.3
700175,23,Americas,Tablet,HighSchool,Beginner,Marketing,2024-02-21,8,21,41.7,29,5,6,0,90.9,0.947,1,100
700176,18,Americas,Mobile,Undergrad,Intermediate,Business,2024-01-07,1,28,27.8,44,15,4,0,80.1,0.859,0,79.6
700177,34,Americas,Mobile,WorkingPro,Beginner,Programming,2024-09-21,38,23,12.3,29,4,9,4,51.1,0.92,0,62.5
700178,19,Americas,Laptop,Graduate,Advanced,Business,2024-04-14,15,18,24,28,4,2,3,92.4,0.799,1,84.2
700179,30,Europe,Laptop,Undergrad,Intermediate,Programming,2024-07-23,30,17,26.1,40,4,5,5,61.6,0.845,0,68
700180,35,Americas,Mobile,WorkingPro,Intermediate,Programming,2024-09-05,36,45,30.1,76,12,7,1,54.1,0.907,1,90.7
700181,21,Americas,Mobile,HighSchool,Beginner,Data,2024-06-22,25,13,20.9,24,4,2,2,84.2,0.936,0,74.8
700182,34,Americas,Mobile,Undergrad,Intermediate,Data,2024-10-02,40,22,27.8,21,10,4,1,98.6,0.806,1,91.1
700183,26,Asia,Mobile,Undergrad,Intermediate,Marketing,2024-10-24,43,13,13.1,1,8,2,2,48.5,0.795,0,60.9
700184,27,Americas,Mobile,HighSchool,Intermediate,Data,2024-03-30,13,9,14.6,19,6,4,0,79.3,0.703,0,77.1
700185,23,Asia,Mobile,Undergrad,Intermediate,Programming,2024-01-06,1,10,32.9,12,5,5,0,49.6,0.616,0,64.4
700186,25,Americas,Mobile,Graduate,Intermediate,Programming,2024-04-05,14,8,33.5,5,4,5,1,57.5,0.741,0,66.8
700187,16,Asia,Mobile,Graduate,Beginner,Programming,2024-01-25,4,27,,39,4,4,2,69.7,0.821,1,77.7
700188,32,Asia,Mobile,Undergrad,Beginner,Data,2024-12-09,50,23,,16,6,0,3,84.7,0.926,0,61.9
700189,19,Europe,Laptop,Undergrad,Intermediate,Programming,2024-06-05,23,26,15.3,36,9,5,3,43.6,0.857,0,51.9
700190,25,Asia,Mobile,Graduate,Intermediate,Business,2024-11-04,45,14,17.1,14,3,5,1,78.5,1,1,91.8
700191,30,Americas,Mobile,Undergrad,Beginner,Design,2024-09-27,39,9,19.3,14,7,9,1,63.5,0.977,0,81.9
700192,27,Americas,Mobile,Undergrad,Intermediate,Business,2024-02-27,9,7,4.8,0,5,2,3,63.1,0.814,0,63.3
700193,26,Europe,Mobile,WorkingPro,Advanced,Programming,2024-01-14,2,47,26.3,88,13,4,1,67.4,0.938,1,99.4
700194,22,Africa,Mobile,Undergrad,Intermediate,Design,2024-12-29,52,14,15.4,24,5,2,2,50.2,0.97,0,58.1
700195,38,Asia,Mobile,Undergrad,Intermediate,Data,2024-08-26,35,18,11.6,22,4,3,3,59.5,0.876,0,67.9
700196,27,Asia,Laptop,HighSchool,Beginner,Marketing,2024-07-15,29,15,14.7,29,7,4,2,97.5,0.814,0,91.1
700197,18,Europe,Laptop,Graduate,Beginner,Design,2024-02-14,7,4,10.2,17,7,0,2,57.6,0.999,0,59.1
700198,23,Americas,Laptop,WorkingPro,Beginner,Programming,2024-12-18,51,18,31.6,28,6,2,1,84.1,0.95,1,86.2
700199,34,Americas,Tablet,Undergrad,Beginner,Marketing,2024-03-28,13,9,17.7,11,5,3,2,59.4,0.584,0,59.1
700200,32,Africa,Mobile,Graduate,Advanced,Programming,2024-02-02,5,9,18.6,16,9,6,2,75.8,0.923,1,82.8
